Smiles,Tg/℃
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=C(OC7=CC=C(OC8=CC=CC(O[*])=C8)C=C7)C=C6C5=O)=O)C=C4)=C3)C=C2)C9=CC([*])=CC=C9C1=O,184
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=C(OC7=CC=C(C(C)(C)C8=CC=CC(O[*])=C8)C=C7)C=C6C5=O)=O)C=C4)=C3)C=C2)C9=CC([*])=CC=C9C1=O,178
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=C([*])C=C6C5=O)=O)C=C4)=C3)C=C2)C7=CC([*])=CC=C7C1=O,211
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=C([*])C=C6C5=O)=O)C=C4)=C3)C=C2)C7=C([*])C=CC=C7C1=O,248
O=C(N1C2=CC=C(OC3=CC=CC(OC(C=C4)=CC=C4N5C(C6=CC=CC(OC7=CC=CC(O[*])=C7)=C6C5=O)=O)=C3)C=C2)C8=C([*])C=CC=C8C1=O,193
O=C(N1C2=CC=C(OC3=CC=C(OC4=CC=C(N5C(C6=CC=CC(S[*])=C6C5=O)=O)C=C4)C=C3)C=C2)C7=C([*])C=CC=C7C1=O,250
O=C(N1C2=CC=C(OC3=CC=C(OC4=CC=C(N5C(C6=CC=CC([*])=C6C5=O)=O)C=C4)C=C3)C=C2)C7=C([*])C=CC=C7C1=O,293
O=C(N1C2=CC=C(OC3=CC=C(OC4=CC=C(N5C(C6=CC=C(S[*])C=C6C5=O)=O)C=C4)C=C3)C=C2)C7=CC([*])=CC=C7C1=O,234
O=C(N1C2=CC=C(OC3=CC=C(OC4=CC=C(N5C(C6=CC=C(S[*])C=C6C5=O)=O)C=C4)C=C3)C=C2)C7=C([*])C=CC=C7C1=O,242
O=C(N1C2=CC=C(OC3=CC=C(OC4=CC=C(N5C(C6=CC=C(O[*])C=C6C5=O)=O)C=C4)C=C3)C=C2)C7=CC([*])=CC=C7C1=O,250
O=C(N1C2=CC=C(OC3=CC=C(OC4=CC=C(N5C(C6=CC=C(O[*])C=C6C5=O)=O)C=C4)C=C3)C=C2)C7=CC([*])=CC=C7C1=O,245
O=C(N1C2=CC=C(OC3=CC=C(OC4=CC=C(N5C(C6=CC=C(O[*])C=C6C5=O)=O)C=C4)C=C3)C=C2)C7=C([*])C=CC=C7C1=O,253
O=C(N1C2=CC=C(OC3=CC=C(OC4=CC=C(N5C(C6=CC=C(O[*])C=C6C5=O)=O)C=C4)C(C(C)(C)C)=C3)C=C2)C7=CC([*])=CC=C7C1=O,240
O=C(N1C2=CC=C(OC3=CC=C(OC4=CC=C(N5C(C6=CC=C([*])C=C6C5=O)=O)C=C4)C=C3)C=C2)C7=CC([*])=CC=C7C1=O,257
O=C(N1C2=CC=C(OC3=CC=C(OC4=CC=C(N5C(C6=CC=C([*])C=C6C5=O)=O)C=C4)C=C3)C=C2)C7=C([*])C=CC=C7C1=O,283
O=C(N1C2=CC=C(OC3=CC=C(OC4=CC=C(N5C(C6=C(O[*])C=CC=C6C5=O)=O)C=C4)C=C3)C=C2)C7=C([*])C=CC=C7C1=O,263
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(S[*])=C5C4=O)=O)C=C3)C=C2)C6=C([*])C=CC=C6C1=O,293
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(S[*])=C5C4=O)=O)C=C3)C=C2)C6=C([*])C=CC=C6C1=O,281
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(OC6=CC=CC(O[*])=C6)=C5C4=O)=O)C=C3)C=C2)C7=C([*])C=CC=C7C1=O,226
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(OC6=CC=C(SC7=CC=CC(O[*])=C7)C=C6)=C5C4=O)=O)C=C3)C=C2)C8=C([*])C=CC=C8C1=O,234
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(OC6=CC=C(S(C7=CC=CC(O[*])=C7)(=O)=O)C=C6)=C5C4=O)=O)C=C3)C=C2)C8=C([*])C=CC=C8C1=O,267
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(OC6=CC=C(OC7=CC=CC(O[*])=C7)C=C6)=C5C4=O)=O)C=C3)C=C2)C8=C([*])C=CC=C8C1=O,239
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(OC6=CC=C(O[*])C=C6)=C5C4=O)=O)C=C3)C=C2)C7=CC([*])=CC=C7C1=O,245
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(OC6=CC=C(O[*])C=C6)=C5C4=O)=O)C=C3)C=C2)C7=C([*])C=CC=C7C1=O,269
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(OC6=CC=C(O[*])C=C6)=C5C4=O)=O)C=C3)C=C2)C7=C([*])C=CC=C7C1=O,269
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(OC6=CC=C(O[*])C=C6)=C5C4=O)=O)C=C3)C=C2)C7=C([*])C=CC=C7C1=O,263
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(OC6=CC=C(C7=CC=C(O[*])C=C7)C=C6)=C5C4=O)=O)C=C3)C=C2)C8=C([*])C=CC=C8C1=O,277
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(OC6=CC=C(C(C7=CC=CC(O[*])=C7)=O)C=C6)=C5C4=O)=O)C=C3)C=C2)C8=C([*])C=CC=C8C1=O,252
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(OC6=CC=C(C(C)(C)C7=CC=CC(O[*])=C7)C=C6)=C5C4=O)=O)C=C3)C=C2)C8=C([*])C=CC=C8C1=O,235
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC(O[*])=C5C4=O)=O)C=C3)C=C2)C6=C([*])C=CC=C6C1=O,295
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=CC([*])=C5C4=O)=O)C=C3)C=C2)C6=C([*])C=CC=C6C1=O,330
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(S[*])C=C5C4=O)=O)C=C3)C=C2)C6=CC([*])=CC=C6C1=O,266
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(S[*])C=C5C4=O)=O)C=C3)C=C2)C6=CC([*])=CC=C6C1=O,263
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(S[*])C=C5C4=O)=O)C=C3)C=C2)C6=C([*])C=CC=C6C1=O,282
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(S[*])C=C5C4=O)=O)C=C3)C=C2)C6=C([*])C=CC=C6C1=O,269
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(OC6=CC=CC(O[*])=C6)C=C5C4=O)=O)C=C3)C=C2)C7=CC([*])=CC=C7C1=O,209
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(OC6=CC=C(SC7=CC=CC(O[*])=C7)C=C6)C=C5C4=O)=O)C=C3)C=C2)C8=CC([*])=CC=C8C1=O,212
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(OC6=CC=C(S(C7=CC=CC(O[*])=C7)(=O)=O)C=C6)C=C5C4=O)=O)C=C3)C=C2)C8=CC([*])=CC=C8C1=O,260
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(OC6=CC=C(OC7=CC=CC(O[*])=C7)C=C6)C=C5C4=O)=O)C=C3)C=C2)C8=CC([*])=CC=C8C1=O,215
O=C(N1C2=CC=C(OC3=CC=C(N4C(C5=CC=C(OC6=CC=C(O[*])C=C6)C=C5C4=O)=O)C=C3)C=C2)C7=CC([*])=CC=C7C1=O,245
